"Sweep (n)","APD","APD value (ms)","APD value (mV)"
833,"APD 20",1.1,22.849998403946
833,"APD 50",5.7,-12.6499991164078
833,"APD 90",29,-59.6499958334958
834,"APD 20",1.1,22.4499984318857
834,"APD 50",5.7,-12.5999991199002
834,"APD 90",29.1,-59.6499958334958
835,"APD 20",1.1,22.3999984353781
835,"APD 50",5.6,-12.0499991583173
835,"APD 90",29.1,-59.5999958369883
836,"APD 20",1.1,22.8999984004536
836,"APD 50",5.6,-12.0999991548248
836,"APD 90",29,-59.5999958369883
837,"APD 20",1.1,23.0999983864837
837,"APD 50",5.7,-12.4999991268851
837,"APD 90",29,-59.5999958369883
838,"APD 20",1.1,22.5499984249008
838,"APD 50",5.6,-12.1499991513323
838,"APD 90",29.2,-59.6499958334958
839,"APD 20",1.1,23.0499983899762
839,"APD 50",5.6,-12.299999140855
839,"APD 90",29.3,-59.6999958300034
840,"APD 20",1.1,23.0999983864837
840,"APD 50",5.7,-12.5999991199002
840,"APD 90",29.2,-59.6999958300034
841,"APD 20",1,23.6999983445742
841,"APD 50",5.6,-12.5499991233927
841,"APD 90",29.2,-59.6999958300034
842,"APD 20",1.1,22.5499984249008
842,"APD 50",5.6,-12.1499991513323
842,"APD 90",29.2,-59.5499958404807
