"Sweep (n)","APD","APD value (ms)","APD value (mV)"
2,"APD 20",100.2,24.2980945490274
2,"APD 50",141,-12.0605463021548
2,"APD 90",193.2,-60.6994600075554
3,"APD 20",96.4,24.9999988125638
3,"APD 50",136.2,-10.7788080817841
3,"APD 90",179.8,-58.1939669624974
4,"APD 20",89,24.8718249905267
4,"APD 50",129.2,-10.2325434592928
4,"APD 90",167.4,-57.2174045088816
5,"APD 20",97.6,24.6856677728062
5,"APD 50",138.4,-12.2863763695534
5,"APD 90",191.6,-61.1938447496983
6,"APD 20",96.4,23.9776599939348
6,"APD 50",136.2,-12.1368402438435
6,"APD 90",184.2,-60.2050752654124
