"File Name","Folder","Condition 1","Condition 2","Condition 3","variable","value"
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"dV/dt max y (V/s)",11.8186251489756
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"dV/dt max y (V/s)",14.3044204855612
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"dV/dt max y (V/s)",15.1262655281153
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"dV/dt max y (V/s)",40.3885856492601
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"dV/dt max y (V/s)",47.0632507768349
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"dV/dt max y (V/s)",42.8196321355816
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"dV/dt max y (V/s)",19.2578624481131
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"dV/dt max y (V/s)",13.3521853391935
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"dV/dt max y (V/s)",12.0159641033408
"CellA_27_10_21_0000","27_10_21","27","10","21","dV/dt max y (V/s)",47.8504847882675
"CellB_27_10_21_0000","27_10_21","27","10","21","dV/dt max y (V/s)",148.786945657965
"CellD_27_10_21_0000","27_10_21","27","10","21","dV/dt max y (V/s)",11.2889599760201
"CellE_27_10_21_0000","27_10_21","27","10","21","dV/dt max y (V/s)",13.6078371521434
"CelIJ_07_12_21_0000","07_12_21","07","12","21","Negative dV/dt max y (V/s)",-31.5699061694732
"CelIL  07_12_21_0000","07_12_21","07","12","21","Negative dV/dt max y (V/s)",-4.55937801629243
"CelIM 07_12_21_0000","07_12_21","07","12","21","Negative dV/dt max y (V/s)",-36.5226473673687
"CelIN 07_12_21_0000","07_12_21","07","12","21","Negative dV/dt max y (V/s)",-4.65464336221896
"CelIO 07_12_21_0000","07_12_21","07","12","21","Negative dV/dt max y (V/s)",-13.1814032146064
"CelIP 07_12_21_0000","07_12_21","07","12","21","Negative dV/dt max y (V/s)",-5.11572790670634
"CelIN 16_12_21_0000","16_12_21","16","12","21","Negative dV/dt max y (V/s)",-10.082628586703
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"Negative dV/dt max y (V/s)",-11.8052802939143
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"Negative dV/dt max y (V/s)",-10.7499374856382
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"Negative dV/dt max y (V/s)",-11.0397590509472
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Negative dV/dt max y (V/s)",-8.9486185465619
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Negative dV/dt max y (V/s)",-9.38943302500477
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Negative dV/dt max y (V/s)",-9.24569545219562
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"Negative dV/dt max y (V/s)",-9.24148084653041
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"Negative dV/dt max y (V/s)",-9.92201354134008
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"Negative dV/dt max y (V/s)",-10.5185815683371
"CellA_27_10_21_0000","27_10_21","27","10","21","Negative dV/dt max y (V/s)",-4.57448302902348
"CellB_27_10_21_0000","27_10_21","27","10","21","Negative dV/dt max y (V/s)",-9.16499950697915
"CellD_27_10_21_0000","27_10_21","27","10","21","Negative dV/dt max y (V/s)",-5.16387696252395
"CellE_27_10_21_0000","27_10_21","27","10","21","Negative dV/dt max y (V/s)",-4.88008737105088
"CelIJ_07_12_21_0000","07_12_21","07","12","21","RR (ms)",2509.89745762712
"CelIL  07_12_21_0000","07_12_21","07","12","21","RR (ms)",808.723728813559
"CelIM 07_12_21_0000","07_12_21","07","12","21","RR (ms)",1776.303125
"CelIN 07_12_21_0000","07_12_21","07","12","21","RR (ms)",761.371296296296
"CelIO 07_12_21_0000","07_12_21","07","12","21","RR (ms)",456.658482142857
"CelIP 07_12_21_0000","07_12_21","07","12","21","RR (ms)",243.665481651376
"CelIN 16_12_21_0000","16_12_21","16","12","21","RR (ms)",399.32074742268
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"RR (ms)",535.424375
