"Sweep (n)","APD","APD value (ms)","APD value (mV)"
6,"APD 20",27,26.9042955971145
6,"APD 50",52.4,-5.57556125861255
6,"APD 90",175.2,-48.8403297114588
7,"APD 20",27.6,26.6265856493675
7,"APD 50",52.4,-5.5664059856099
7,"APD 90",176,-48.3520484846509
8,"APD 20",27.6,26.9836412964708
8,"APD 50",52.4,-5.31616185687086
8,"APD 90",174.6,-48.3367896963132
9,"APD 20",26.6,26.9744860234682
9,"APD 50",52.4,-5.31921361453841
9,"APD 90",175,-48.2574439969569
10,"APD 20",26.2,26.9317614161225
10,"APD 50",52.2,-5.56945774327745
10,"APD 90",177.6,-48.7518287390999
