"Sweep (n)","APD","APD value (ms)","APD value (mV)"
59,"APD 10",27.6,41.5405282722532
59,"APD 20",92.4,27.5543219049496
59,"APD 50",181,-14.3096927026591
59,"APD 70",195.4,-42.1722421535606
59,"APD 90",204.4,-69.8486343737386
60,"APD 10",27,41.4031991676211
60,"APD 20",91.4,27.4810797158125
60,"APD 50",181.6,-14.3676761023926
60,"APD 70",196,-42.178345669322
60,"APD 90",205,-70.0225845729392
61,"APD 10",27,41.4672860831161
61,"APD 20",92.2,27.5268560840232
61,"APD 50",183.8,-14.3676761023926
61,"APD 70",198.4,-42.2485361005784
61,"APD 90",207.4,-70.1751724669748
62,"APD 10",27,41.3635263151719
62,"APD 20",90.8,27.5024420209775
62,"APD 50",183.8,-14.4653323545754
62,"APD 70",198.6,-42.3614511421647
62,"APD 90",207.6,-70.1293960987641
63,"APD 10",27,41.3330087363647
63,"APD 20",92.2,27.4383551054825
63,"APD 50",184.2,-14.4683841124561
63,"APD 70",199,-42.3065195003119
63,"APD 90",208,-70.0073257835357
