"Sweep (n)","APD","APD value (ms)","APD value (mV)"
28,"APD 10",18.2,40.7958993493594
28,"APD 20",52.6,27.6123053046831
28,"APD 50",144,-12.243652617417
28,"APD 70",160.4,-38.5345467597517
28,"APD 90",168.6,-65.4632582991553
29,"APD 10",17.8,40.7745370441944
29,"APD 20",51.8,27.3742681899876
29,"APD 50",147.2,-12.8143313411101
29,"APD 70",163.6,-39.4866952185339
29,"APD 90",172,-66.6870132093209
30,"APD 10",18.2,40.6188973922781
30,"APD 20",52.6,27.1545416225763
30,"APD 50",142.4,-13.4582522539404
30,"APD 70",158.2,-40.3472909408947
30,"APD 90",166.6,-67.0562759128871
31,"APD 10",18,40.6646737604888
31,"APD 20",54.6,27.1881109592641
31,"APD 50",148.4,-13.4674075275825
31,"APD 70",165,-40.4815682876461
31,"APD 90",173.6,-67.745973193928
32,"APD 10",18,40.7318124338644
32,"APD 20",54.6,27.2613531484012
32,"APD 50",149.2,-13.2354739286484
32,"APD 70",166.4,-40.3747567618211
32,"APD 90",174.8,-67.5750747526081
