"Sweep (n)","APD","APD value (ms)","APD value (mV)"
46,"APD 10",14.44,43.9453104127098
46,"APD 20",71.66,30.5175766754929
46,"APD 50",210.98,-9.15527300264787
46,"APD 70",230.38,-35.7055647103267
46,"APD 90",239.72,-62.2558564180055
47,"APD 10",14.72,44.2504861794647
47,"APD 20",58.34,31.1279282090027
47,"APD 50",202.56,-8.85009723589294
47,"APD 70",222.7,-35.4003889435717
47,"APD 90",231.48,-62.2558564180055
48,"APD 10",14.42,44.2504861794647
48,"APD 20",61.58,31.1279282090027
48,"APD 50",202.58,-9.15527300264787
48,"APD 70",221.42,-35.7055647103267
48,"APD 90",230.14,-62.5610321847604
49,"APD 10",11.78,44.5556619462196
49,"APD 20",62.86,31.1279282090027
49,"APD 50",201.54,-8.85009723589294
49,"APD 70",220.82,-35.7055647103267
49,"APD 90",229.72,-62.5610321847604
50,"APD 10",11.76,45.1660134797295
50,"APD 20",58.9,31.7382797425126
50,"APD 50",203.28,-8.54492146913801
50,"APD 70",223.44,-35.4003889435717
50,"APD 90",231.8,-62.2558564180055
