"Sweep (n)","APD","APD value (ms)","APD value (mV)"
13,"APD 20",54.2,31.1096198359792
13,"APD 50",88.8,-8.94165059048646
13,"APD 90",99.2,-62.6708998383038
14,"APD 20",52.8,31.1187751096213
14,"APD 50",88.6,-8.88671894863365
14,"APD 90",99.2,-63.0126967209435
15,"APD 20",53,31.0729987414106
15,"APD 50",89.2,-8.99047871657786
15,"APD 90",99.8,-63.0737318785578
16,"APD 20",52.4,31.2255866354463
16,"APD 50",88.8,-9.01184102174284
16,"APD 90",99.4,-62.5885023755245
17,"APD 20",51.4,31.1553962041899
17,"APD 50",87.8,-8.80126972797371
17,"APD 90",98.6,-63.0554213312735
