"Sweep (n)","APD","APD value (ms)","APD value (mV)"
36,"APD 20",121.2,29.1748053396077
36,"APD 50",209.8,-12.8723147408437
36,"APD 90",228,-69.6289078063274
37,"APD 20",121.2,29.2053229184148
37,"APD 50",210.2,-12.8173830989908
37,"APD 90",228.6,-69.3695083864668
38,"APD 20",124.6,28.8879400988208
38,"APD 50",210.8,-13.2232668971255
38,"APD 90",229,-69.5831314381167
39,"APD 20",124.4,28.9184576776279
39,"APD 50",211.8,-13.4185794014911
39,"APD 90",230,-69.7998062476472
40,"APD 20",125.2,28.7445074784273
40,"APD 50",211.4,-13.1805422867956
40,"APD 90",229.6,-69.5465103435481
