"Sweep (n)","APD","APD value (ms)","APD value (mV)"
5,"APD 20",1.5,25.939940174169
5,"APD 50",5,-7.01904263536336
5,"APD 70",10.5,-28.6865220749633
5,"APD 90",41.5,-50.6591772813182
6,"APD 20",1.5,25.0244128739042
6,"APD 50",5,-7.01904263536336
6,"APD 70",10.5,-28.6865220749633
6,"APD 90",40.5,-50.3540015145633
7,"APD 20",1.5,24.4140613403943
7,"APD 50",5,-7.93456993562815
7,"APD 70",10.5,-29.2968736084732
7,"APD 90",40,-50.3540015145633
8,"APD 20",1.5,22.5830067398647
8,"APD 50",4.5,-5.79833956834365
8,"APD 70",10,-28.3813463082084
8,"APD 90",40,-50.0488257478083
9,"APD 20",1.5,22.2778309731098
9,"APD 50",4.5,-6.10351533509858
9,"APD 70",10,-28.9916978417182
9,"APD 90",38.5,-50.0488257478083
