"Sweep (n)","APD","APD value (ms)","APD value (mV)"
1,"APD 20",2.99999999999999,-8.54492146913801
1,"APD 50",15.5,-33.2641585762873
1,"APD 70",40,-50.6591772813182
1,"APD 90",137,-67.7490202195942
2,"APD 20",2.49999999999999,-5.49316380158872
2,"APD 50",15,-32.0434555092675
2,"APD 70",38,-49.1332984475435
2,"APD 90",121.5,-66.5283171525745
3,"APD 20",2.49999999999999,-6.40869110185351
3,"APD 50",15,-33.2641585762873
3,"APD 70",37,-50.0488257478083
3,"APD 90",123.5,-67.1386686860844
4,"APD 20",2.49999999999999,-4.57763650132393
4,"APD 50",15,-31.1279282090027
4,"APD 70",38,-48.2177711472788
4,"APD 90",119.5,-65.3076140855548
5,"APD 20",2.49999999999999,-5.18798803483379
5,"APD 50",15,-32.0434555092675
5,"APD 70",37.5,-49.1332984475435
5,"APD 90",129,-66.2231413858196
