"Sweep (n)","APD","APD value (ms)","APD value (mV)"
4,"APD 20",1.5,24.4140613403943
4,"APD 50",4.5,-7.93456993562815
4,"APD 70",10,-31.7382797425126
4,"APD 90",43,-53.7109349488675
5,"APD 20",1.5,22.5830067398647
5,"APD 50",4.5,-9.15527300264787
5,"APD 70",9.5,-30.5175766754929
5,"APD 90",42.5,-53.4057591821126
6,"APD 20",1,31.1279282090027
6,"APD 50",4.5,-9.15527300264787
6,"APD 70",9.5,-30.212400908738
6,"APD 90",42.5,-53.7109349488675
7,"APD 20",1,27.7709947746985
7,"APD 50",4,-6.71386686860844
7,"APD 70",9.5,-30.5175766754929
7,"APD 90",42.5,-53.7109349488675
8,"APD 20",1,26.2451159409239
8,"APD 50",4,-7.01904263536336
8,"APD 70",9.5,-30.5175766754929
8,"APD 90",42.5,-53.7109349488675
