"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","Condition 5","variable","value"
"C1 2019_07_03_0000 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",7.08064858741061
"C2 2019_05_16_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",7.18081286801666
"C2 2019_06_03_0001 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",5.81462960809395
"C3 2019_05_31_0003 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",7.08566569829241
"C3 2019_06_03_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",6.5410779696494
"C3 2019_06_14_0002 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",9.67585873246251
"C6 2019_05_27_0005 Iso 100nM","MM_SAN_CTRL_100nM.ISO_Spont","MM","SAN","CTRL","100nM.ISO","Spont","Frequency (Hz)",6.93048721325109
"C1 2019_04_23_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",4.19445493058176
"C1 2019_04_30_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",3.60958706323997
"C1 2019_05_15_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",2.3995200959808
"C1 2019_06_06_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",3.70617448669483
"C1 2019_06_14_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",2.75148580233326
"C1 2019_07_03_0000 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",5.5561729081009
"C2 2019_05_16_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",4.93193923850858
"C2 2019_06_03_0001 Tyr","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",2.26182936759251
"C3 2019_05_31_0003 Tyrode","MM_SAN_CTRL_Tyr_Spont","MM","SAN","CTRL","Tyr","Spont","Frequency (Hz)",3.47548048517708
