"Sweep (n)","Ediast (mV)"
153,-83.2299941864519
154,-83.1549941916906
155,-83.1474941922145
156,-83.1649941909921
157,-83.1899941892459
158,-83.1699941906429
159,-83.137494192913
160,-83.2099941878489
161,-83.2999941815625
162,-83.2324941862773
